news_headline,news_article,news_category,full_text,clean_text
HP turns down $33.5 billion takeover offer from Xerox,"Computer and printer maker HP has turned down a $33.5 billion buyout offer from Xerox, saying it significantly undervalues the company and was not in its shareholder's ""best interests"". It further pointed to Xerox's declining revenues and the prospect of high debt levels for the combined company. HP, however, said it was open to further explorations to reach a deal.",technology,"HP turns down $33.5 billion takeover offer from Xerox. Computer and printer maker HP has turned down a $33.5 billion buyout offer from Xerox, saying it significantly undervalues the company and was not in its shareholder's ""best interests"". It further pointed to Xerox's declining revenues and the prospect of high debt levels for the combined company. HP, however, said it was open to further explorations to reach a deal.",hp turn billion takeover offer xerox computer printer maker hp turn billion buyout offer xerox say significantly undervalue company not shareholder good interest point xeroxs decline revenue prospect high debt level combine company hp however say open exploration reach deal
Facebook may ban political ads from micro-targeting: Reports,"Ahead of state elections in India, Facebook is reportedly planning to bar political advertisements from micro-targeting potential voters on the platform based on things like caste and religion. Reports said political parties will instead have to build campaigns around interests. Recently, Twitter announced it will ban political ads from its platform and restrict micro-targeting from November 22.",technology,"Facebook may ban political ads from micro-targeting: Reports. Ahead of state elections in India, Facebook is reportedly planning to bar political advertisements from micro-targeting potential voters on the platform based on things like caste and religion. Reports said political parties will instead have to build campaigns around interests. Recently, Twitter announced it will ban political ads from its platform and restrict micro-targeting from November 22.",facebook may ban political ad micro targeting report ahead state election india facebook reportedly plan bar political advertisement micro target potential voter platform base thing like caste religion report say political party instead build campaign around interest recently twitter announce ban political ad platform restrict micro targeting november
Pegasus-like spyware found targeting WhatsApp with MP4 files,"A security vulnerability in WhatsApp has let a remote attacker target phones by sending MP4 videos, similar to the recent Israel-based Pegasus spyware. The new threat is reported to inject malware into the victim's device to access sensitive files and even use it for surveillance purposes. WhatsApp for Android, iOS, Windows and WhatsApp Business apps have been affected.",technology,"Pegasus-like spyware found targeting WhatsApp with MP4 files. A security vulnerability in WhatsApp has let a remote attacker target phones by sending MP4 videos, similar to the recent Israel-based Pegasus spyware. The new threat is reported to inject malware into the victim's device to access sensitive files and even use it for surveillance purposes. WhatsApp for Android, iOS, Windows and WhatsApp Business apps have been affected.",pegasus like spyware find target whatsapp mp file security vulnerability whatsapp let remote attacker target phone send mp video similar recent israel base pegasus spyware new threat report inject malware victim device access sensitive file even use surveillance purpose whatsapp android ios window whatsapp business app affect
"Nissan recalls 4,00,000 cars in US over fire hazard concerns","Japanese automaker Nissan has recalled nearly 4,00,000 cars in the US over concerns of a fire hazard. Nissan said a braking system defect could leak brake fluid into the internal circuit boards and may, in ""rare instances"", lead to a fire if leak warnings sent to drivers are ignored. No such incident with its cars has been reported so far.",technology,"Nissan recalls 4,00,000 cars in US over fire hazard concerns. Japanese automaker Nissan has recalled nearly 4,00,000 cars in the US over concerns of a fire hazard. Nissan said a braking system defect could leak brake fluid into the internal circuit boards and may, in ""rare instances"", lead to a fire if leak warnings sent to drivers are ignored. No such incident with its cars has been reported so far.",nissan recall car us fire hazard concern japanese automaker nissan recall nearly car us concern fire hazard nissan say brake system defect could leak brake fluid internal circuit board may rare instance lead fire leak warning send driver ignore no incident car report far
Facebook builds Instagram-like feed for its own app,"Facebook has confirmed that it has concluded testing an in-app feature which displays an Instagram-like photo feed. The feature named 'Popular Photos' lets users scroll endlessly through an algorithmically selected feed of pictures from friends, beneath the full-screen view of a picture opened from News Feed. Within Popular Photos, Facebook will truncate or hide captions beyond 65 characters.",technology,"Facebook builds Instagram-like feed for its own app. Facebook has confirmed that it has concluded testing an in-app feature which displays an Instagram-like photo feed. The feature named 'Popular Photos' lets users scroll endlessly through an algorithmically selected feed of pictures from friends, beneath the full-screen view of a picture opened from News Feed. Within Popular Photos, Facebook will truncate or hide captions beyond 65 characters.",facebook build instagram like feed app facebook confirm conclude test app feature display instagram like photo feed feature name popular photo let user scroll endlessly algorithmically select feed picture friend beneath full screen view picture open news feed within popular photo facebook truncate hide caption beyond character
CAIT asks for uniform discount policy on e-commerce firms,"Seeking to end deep discounting issues on e-commerce platforms, the Confederation of All India Traders (CAIT) has urged the government to introduce a minimum operating price and uniform policy for discounts. It has accused e-commerce companies of engaging in predatory pricing causing GST and other revenue loss to the government. CAIT had called for a two-month protest against e-commerce firms. ",technology,"CAIT asks for uniform discount policy on e-commerce firms. Seeking to end deep discounting issues on e-commerce platforms, the Confederation of All India Traders (CAIT) has urged the government to introduce a minimum operating price and uniform policy for discounts. It has accused e-commerce companies of engaging in predatory pricing causing GST and other revenue loss to the government. CAIT had called for a two-month protest against e-commerce firms. ",cait ask uniform discount policy e commerce firm seek end deep discounting issue e commerce platform confederation india trader cait urge government introduce minimum operating price uniform policy discount accuse e commerce company engage predatory pricing cause gst revenue loss government cait call two month protest e commerce firm
TikTok owner ByteDance to launch music streaming service: Reports,TikTok owner ByteDance Technology is reportedly planning to launch its music streaming platform and is in talks with music labels for global licencing deals to include their music on it. The platform is expected to be launched next month. It will include a library of short video clips for listeners to search through and sync to songs as they listen.,technology,TikTok owner ByteDance to launch music streaming service: Reports. TikTok owner ByteDance Technology is reportedly planning to launch its music streaming platform and is in talks with music labels for global licencing deals to include their music on it. The platform is expected to be launched next month. It will include a library of short video clips for listeners to search through and sync to songs as they listen.,tiktok owner bytedance launch music streaming service report tiktok owner bytedance technology reportedly plan launch music streaming platform talk music label global licencing deal include music platform expect launch next month include library short video clip listener search sync song listen
Twitter to ban political ads starting November 22,"Twitter on Friday unveiled a new policy that bans political advertisements on its platform starting November 22. The policy bans paid political content which appeals for votes, solicits financial support or references candidates, parties, elected officials, legislation and regulation. Twitter will also limit ""cause-based"" ads, restricting ""contentious"" topics like climate change and abortion.",technology,"Twitter to ban political ads starting November 22. Twitter on Friday unveiled a new policy that bans political advertisements on its platform starting November 22. The policy bans paid political content which appeals for votes, solicits financial support or references candidates, parties, elected officials, legislation and regulation. Twitter will also limit ""cause-based"" ads, restricting ""contentious"" topics like climate change and abortion.",twitter ban political ad start november twitter friday unveil new policy ban political advertisement platform start november policy ban pay political content appeal vote solicit financial support reference candidate party elect official legislation regulation twitter also limit cause base ad restrict contentious topic like climate change abortion
Instagram trying to shut down app that snoops on private profiles,"After sending a cease and desist order to a stalker-friendly app 'Like Patrol', Instagram is taking action against another app built to show private Instagram profiles without permission. The social media platform is sending a cease and desist request to 'Ghosty' for violating its rules. The 'Ghosty' app would further make users pay for bundles or watch ads.",technology,"Instagram trying to shut down app that snoops on private profiles. After sending a cease and desist order to a stalker-friendly app 'Like Patrol', Instagram is taking action against another app built to show private Instagram profiles without permission. The social media platform is sending a cease and desist request to 'Ghosty' for violating its rules. The 'Ghosty' app would further make users pay for bundles or watch ads.",instagram try shut app snoop private profile send cease desist order stalker friendly app like patrol instagram take action another app build show private instagram profile without permission social medium platform send cease desist request ghosty violate rule ghosty app would make user pay bundle watch ad
Government to set up FACT Check module to curb fake news,"Following a 'fake' report claiming PM Modi congratulated ex-CJI Ranjan Gogoi over the Ayodhya verdict, the government has decided to form a FACT Check module. The module will work on four principles — find, assess, create and target — which will be handled by Indian information service officers. The mechanism will be followed on online and digital content for now. ",technology,"Government to set up FACT Check module to curb fake news. Following a 'fake' report claiming PM Modi congratulated ex-CJI Ranjan Gogoi over the Ayodhya verdict, the government has decided to form a FACT Check module. The module will work on four principles — find, assess, create and target — which will be handled by Indian information service officers. The mechanism will be followed on online and digital content for now. ",government set fact check module curb fake news follow fake report claim pm modi congratulate ex cji ranjan gogoi ayodhya verdict government decide form fact check module module work four principle find assess create target handle indian information service officer mechanism follow online digital content
Chrome update leaves 'thousands' with unresponsive browser,"After Google ""silently"" rolled out an experimental change to the stable version of Chrome, ""thousands of machines"" in businesses found the browser to be unresponsive. Several business users accessing Chrome through virtual machine environments complained of tabs going blank suddenly, known as the ""White Screen of Death (WSOD)"" error. Google had beta-tested the power-saving feature for five months.",technology,"Chrome update leaves 'thousands' with unresponsive browser. After Google ""silently"" rolled out an experimental change to the stable version of Chrome, ""thousands of machines"" in businesses found the browser to be unresponsive. Several business users accessing Chrome through virtual machine environments complained of tabs going blank suddenly, known as the ""White Screen of Death (WSOD)"" error. Google had beta-tested the power-saving feature for five months.",chrome update leave thousand unresponsive browser google silently roll experimental change stable version chrome thousand machine business find browser unresponsive several business user access chrome virtual machine environment complain tab go blank suddenly know white screen death wsod error google beta test power save feature five month
Bluetooth devices can be hacked due to design flaw: Study,"An inherent design flaw in mobile apps that work with Bluetooth devices like home assistants and fitness trackers makes them vulnerable to hacking, a study claimed. Bluetooth devices broadcast a universally unique identifier (UUID) to communicate with apps, which is also embedded in the app code to recognise the device. The study said this makes devices vulnerable to fingerprinting attacks.",technology,"Bluetooth devices can be hacked due to design flaw: Study. An inherent design flaw in mobile apps that work with Bluetooth devices like home assistants and fitness trackers makes them vulnerable to hacking, a study claimed. Bluetooth devices broadcast a universally unique identifier (UUID) to communicate with apps, which is also embedded in the app code to recognise the device. The study said this makes devices vulnerable to fingerprinting attacks.",bluetooth device hack due design flaw study inherent design flaw mobile app work bluetooth device like home assistant fitness tracker make vulnerable hacking study claim bluetooth device broadcast universally unique identifier uuid communicate app also embed app code recognise device study say make device vulnerable fingerprinting attack
"Google tweaks algorithms for profit, blacklists sites: Report","The Wall Street Journal has claimed that Google tweaks its algorithms to serve powerful interests for profit and blacklists conservative publications. The report also talked about Google favouring big businesses over smaller ones and giving a boost to some major websites, like Amazon and Facebook. Google, however, deemed the report inaccurate and disputed the findings.",technology,"Google tweaks algorithms for profit, blacklists sites: Report. The Wall Street Journal has claimed that Google tweaks its algorithms to serve powerful interests for profit and blacklists conservative publications. The report also talked about Google favouring big businesses over smaller ones and giving a boost to some major websites, like Amazon and Facebook. Google, however, deemed the report inaccurate and disputed the findings.",google tweak algorithm profit blacklist site report wall street journal claim google tweak algorithm serve powerful interest profit blacklist conservative publication report also talk google favour big business small one give boost major website like amazon facebook google however deem report inaccurate dispute finding
WhatsApp beta allows using one account on multiple phones,"WhatsApp is testing a feature on iOS that lets users use the app on multiple mobile phones using the same account. Presently, WhatsApp only allows an account to run on one phone and discourages users from frequently switching their account between different devices. The new feature asks users for a registration code to verify their details for the additional login.",technology,"WhatsApp beta allows using one account on multiple phones. WhatsApp is testing a feature on iOS that lets users use the app on multiple mobile phones using the same account. Presently, WhatsApp only allows an account to run on one phone and discourages users from frequently switching their account between different devices. The new feature asks users for a registration code to verify their details for the additional login.",whatsapp beta allow use one account multiple phone whatsapp test feature io let user use app multiple mobile phone use account presently whatsapp allow account run one phone discourage user frequently switch account different device new feature ask user registration code verify detail additional login
US Army software converts live drone video into 3D maps in minutes,The US Army Corps of Engineers have come up with a new photogrammetry technique that claims to make accurate 3D maps from streaming drone footage in minutes. An algorithm was designed to convert full-motion videos from small drones into image files and create the maps without any human oversight. The system was trained in the US and Iraq.,technology,US Army software converts live drone video into 3D maps in minutes. The US Army Corps of Engineers have come up with a new photogrammetry technique that claims to make accurate 3D maps from streaming drone footage in minutes. An algorithm was designed to convert full-motion videos from small drones into image files and create the maps without any human oversight. The system was trained in the US and Iraq.,us army software convert live drone video map minute us army corps engineer come new photogrammetry technique claim make accurate map stream drone footage minute algorithm design convert full motion video small drone image file create map without human oversight system train us iraq
"Millionaire buys football team, signs 15 new players & makes himself manager","Months after parting ways from football club Billericay Town, 47-year-old millionaire Glenn Tamplin bought Romford FC in England's non-league football. Tamplin appointed himself as the manager by dismissing Paul Martin. He also recruited 15 new players, promising to lift team from bottom of the league. He also promised supporters free entry and a drink for his first match as manager.",sports,"Millionaire buys football team, signs 15 new players & makes himself manager. Months after parting ways from football club Billericay Town, 47-year-old millionaire Glenn Tamplin bought Romford FC in England's non-league football. Tamplin appointed himself as the manager by dismissing Paul Martin. He also recruited 15 new players, promising to lift team from bottom of the league. He also promised supporters free entry and a drink for his first match as manager.",millionaire buy football team sign new player make manager month part way football club billericay town year old millionaire glenn tamplin buy romford fc englands non league football tamplin appoint manager dismiss paul martin also recruit new player promise lift team bottom league also promise supporter free entry drink first match manager
Serena Williams' racket which she broke in 2018 US Open final up for sale,"The racket that 23-time Grand Slam champion Serena Williams broke during her 2018 US Open final against Naomi Osaka is up for sale by Goldin Auctions. The opening bid has been set at $2,000. “I think low end would be $10,000, and I wouldn’t be surprised if it goes to $25,000 or $50,000,” said Ken Goldin, Founder of Goldin Auctions.",sports,"Serena Williams' racket which she broke in 2018 US Open final up for sale. The racket that 23-time Grand Slam champion Serena Williams broke during her 2018 US Open final against Naomi Osaka is up for sale by Goldin Auctions. The opening bid has been set at $2,000. “I think low end would be $10,000, and I wouldn’t be surprised if it goes to $25,000 or $50,000,” said Ken Goldin, Founder of Goldin Auctions.",serena william racket break us open final sale racket time grand slam champion serena william break us open final naomi osaka sale goldin auction opening bid set think low end would would not surprised go say ken goldin founder goldin auction
IAAF officially changes its name to World Athletics,"The International Association of Athletics Federations (IAAF) will now officially be known as World Athletics, a statement said. The IAAF was founded in 1912 as the International Amateur Athletic Federation but changed its name to the International Association of Athletics Federations in 2001. The name change was suggested to make the sport more accessible.

",sports,"IAAF officially changes its name to World Athletics. The International Association of Athletics Federations (IAAF) will now officially be known as World Athletics, a statement said. The IAAF was founded in 1912 as the International Amateur Athletic Federation but changed its name to the International Association of Athletics Federations in 2001. The name change was suggested to make the sport more accessible.

",iaaf officially change name world athletic international association athletic federation iaaf officially know world athletic statement say iaaf found international amateur athletic federation change name international association athletic federation name change suggest make sport accessible
21-year-old Sri Lankan spinner's unorthodox action in T10 League goes viral,"Sri Lankan leg-spinner Kevin Koththiigoda's unorthodox bowling action in the T10 League has gone viral. The 21-year-old spinner's action has been compared to former South Africa spinner Paul Adams' 'frog in a blender' action. Reacting to the action, a user tweeted, ""Firki action of Lagaan movie."" Another user wrote, ""I just feel for his shoulder and back muscles.""",sports,"21-year-old Sri Lankan spinner's unorthodox action in T10 League goes viral. Sri Lankan leg-spinner Kevin Koththiigoda's unorthodox bowling action in the T10 League has gone viral. The 21-year-old spinner's action has been compared to former South Africa spinner Paul Adams' 'frog in a blender' action. Reacting to the action, a user tweeted, ""Firki action of Lagaan movie."" Another user wrote, ""I just feel for his shoulder and back muscles.""",year old sri lankan spinner unorthodox action league go viral sri lankan leg spinner kevin koththiigodas unorthodox bowling action league go viral year old spinner action compare former south africa spinner paul adams frog blender action react action user tweet firki action lagaan movie another user write feel shoulder back muscle
B'deshi pacer assaults teammate for questioning ability to shine ball,Bangladeshi fast bowler Shahadat Hossain has been banned from the ongoing National Cricket League for physically assaulting his teammate Arafat Sunny during a match. Arafat had reportedly said Shahadat was not competent to shine one side of the ball after which the latter attacked him. Shahadat faces a one-year ban by Bangladesh Cricket Board for his antics.,sports,B'deshi pacer assaults teammate for questioning ability to shine ball. Bangladeshi fast bowler Shahadat Hossain has been banned from the ongoing National Cricket League for physically assaulting his teammate Arafat Sunny during a match. Arafat had reportedly said Shahadat was not competent to shine one side of the ball after which the latter attacked him. Shahadat faces a one-year ban by Bangladesh Cricket Board for his antics.,bdeshi pacer assault teammate question ability shine ball bangladeshi fast bowler shahadat hossain ban ongoing national cricket league physically assault teammate arafat sunny match arafat reportedly say shahadat not competent shine one side ball latter attack shahadat face one year ban bangladesh cricket board antic
"Shaw slams 63 off 39 balls in comeback match, does 'let bat talk' celebration","Playing his first match after serving a backdated eight-month ban for doping violation, Mumbai's 20-year-old opener Prithvi Shaw smashed 63 runs off 39 deliveries against Assam in Syed Mushtaq Ali Trophy on Sunday. After reaching the 50-run mark, Shaw raised his bat and gestured towards the camera, indicating 'let my bat do the talking'.",sports,"Shaw slams 63 off 39 balls in comeback match, does 'let bat talk' celebration. Playing his first match after serving a backdated eight-month ban for doping violation, Mumbai's 20-year-old opener Prithvi Shaw smashed 63 runs off 39 deliveries against Assam in Syed Mushtaq Ali Trophy on Sunday. After reaching the 50-run mark, Shaw raised his bat and gestured towards the camera, indicating 'let my bat do the talking'.",shaw slam ball comeback match let bat talk celebration play first match serve backdate eight month ban dope violation mumbais year old opener prithvi shaw smash run delivery assam syed mushtaq ali trophy sunday reach run mark shaw raise bat gesture towards camera indicate let bat talking
"Latest ICC Test rankings released, Mohammed Shami breaks into top 10","India fast bowler Mohammed Shami has broken into the top ten of latest rankings for bowlers in Test cricket, climbing eight places to the seventh spot. Shami's 790 rating points are third best for an Indian pacer with only Kapil Dev (877) and Jasprit Bumrah (835) having recorded more points. Meanwhile, Mayank Agarwal reached 11th position in rankings for batsmen.",sports,"Latest ICC Test rankings released, Mohammed Shami breaks into top 10. India fast bowler Mohammed Shami has broken into the top ten of latest rankings for bowlers in Test cricket, climbing eight places to the seventh spot. Shami's 790 rating points are third best for an Indian pacer with only Kapil Dev (877) and Jasprit Bumrah (835) having recorded more points. Meanwhile, Mayank Agarwal reached 11th position in rankings for batsmen.",late icc test ranking release mohammed shami break top india fast bowler mohammed shami break top ten late ranking bowler test cricket climb eight place seventh spot shamis rating point third good indian pacer kapil dev jasprit bumrah record point meanwhile mayank agarwal reach th position ranking batsman
"Ashton Agar slips while attempting his own brother's catch, gets hit on nose ","Western Australia all-rounder Ashton Agar suffered a laceration to the bridge of his nose after dropping a catch hit by his own brother, South Australia's Wes Agar, in a Marsh One-Day Cup match. Ashton attempted a catch off Wes at mid-on but slipped and copped the ball right between his eyes. ""I was pretty rattled...It looked really bad,"" Wes said.",sports,"Ashton Agar slips while attempting his own brother's catch, gets hit on nose . Western Australia all-rounder Ashton Agar suffered a laceration to the bridge of his nose after dropping a catch hit by his own brother, South Australia's Wes Agar, in a Marsh One-Day Cup match. Ashton attempted a catch off Wes at mid-on but slipped and copped the ball right between his eyes. ""I was pretty rattled...It looked really bad,"" Wes said.",ashton agar slip attempt brother catch get hit nose western australia round ashton agar suffer laceration bridge nose drop catch hit brother south australia wes agar marsh one day cup match ashton attempt catch wes mid slip cop ball right eye pretty rattled look really bad wes say
Gambhir indirectly blames Dhoni for getting dismissed on 97 in World Cup final,"Ex-India opener Gautam Gambhir has indirectly blamed ex-India captain MS Dhoni for getting out on 97 in 2011 World Cup final. He said he wasn't thinking about his own individual score till Dhoni told him he needed three runs for his hundred. He added that if he had only focussed on the target, he would have easily scored his hundred.",sports,"Gambhir indirectly blames Dhoni for getting dismissed on 97 in World Cup final. Ex-India opener Gautam Gambhir has indirectly blamed ex-India captain MS Dhoni for getting out on 97 in 2011 World Cup final. He said he wasn't thinking about his own individual score till Dhoni told him he needed three runs for his hundred. He added that if he had only focussed on the target, he would have easily scored his hundred.",gambhir indirectly blame dhoni get dismiss world cup final ex india opener gautam gambhir indirectly blame ex india captain ms dhoni get world cup final say not think individual score till dhoni tell need three run hundred add focuss target would easily score hundred
Australian woman cricketer banned for 1 year over Instagram post,"Hobart Hurricanes wicketkeeper Emily Smith has been banned for one year (nine months suspended) after she posted a video on Instagram containing details of her team's line-up for their WBBL match against Sydney Thunder. The video was posted about an hour before scheduled start of play, Cricket Australia said. It was taken in restricted Player and Match Official Area (PMOA).",sports,"Australian woman cricketer banned for 1 year over Instagram post. Hobart Hurricanes wicketkeeper Emily Smith has been banned for one year (nine months suspended) after she posted a video on Instagram containing details of her team's line-up for their WBBL match against Sydney Thunder. The video was posted about an hour before scheduled start of play, Cricket Australia said. It was taken in restricted Player and Match Official Area (PMOA).",australian woman cricketer ban year instagram post hobart hurricane wicketkeeper emily smith ban one year nine month suspend post video instagram contain detail team line wbbl match sydney thunder video post hour schedule start play cricket australia say take restricted player match official area pmoa
